,gene_symbol,gene_synonym,uniprot
167,CDKL2,CDKL2,Q92772
168,CDKL3,CDKL3,Q8IVW4
169,CDKL4,CDKL4,Q5MAI5
170,CDKL5,CDKL5,O76039
171,CILK1,CILK1,Q9UPZ9
172,CLK1,CLK1,P49759
173,CLK2,CLK2,P49760
174,CLK3,CLK3,P49761
175,CLK4,CLK4,Q9HAZ1
176,DYRK1A,DYR1A,Q13627
177,DYRK1B,DYR1B,Q9Y463
178,DYRK2,DYRK2,Q92630
179,DYRK3,DYRK3,O43781
180,DYRK4,DYRK4,Q9NR20
181,GSK3A,GSK3A,P49840
182,GSK3B,GSK3B,P49841
183,HIPK1,HIPK1,Q86Z02
184,HIPK2,HIPK2,Q9H2X6
185,HIPK3,HIPK3,Q9H422
186,HIPK4,HIPK4,Q8NE63
187,MAK,MAK,P20794
188,MAPK1,MK01,P28482
189,MAPK10,MK10,P53779
190,MAPK11,MK11,Q15759
191,MAPK12,MK12,P53778
192,MAPK13,MK13,O15264
193,MAPK14,MK14,Q16539
194,MAPK15,MK15,Q8TD08
195,MAPK3,MK03,P27361
196,MAPK4,MK04,P31152
197,MAPK6,MK06,Q16659
198,MAPK7,MK07,Q13164
199,MAPK8,MK08,P45983
200,MAPK9,MK09,P45984
201,MOK,MOK,Q9UQ07
202,NLK,NLK,Q9UBE8
203,PRPF4B,PRP4B,Q13523
204,SRPK1,SRPK1,Q96SB4
205,SRPK2,SRPK2,P78362
206,SRPK3,SRPK3,Q9UPE1
207,NEK1,NEK1,Q96PY6
208,NEK10,NEK10,Q6ZWH5
209,NEK11,NEK11,Q8NG66
210,NEK2,NEK2,P51955
211,NEK3,NEK3,P51956
212,NEK4,NEK4,P51957
213,NEK5,NEK5,Q6P3R8
214,NEK6,NEK6,Q9HC98
215,NEK7,NEK7,Q8TDX7
216,NEK8,NEK8,Q86SG6
217,NEK9,NEK9,Q8TD19
218,GUCY2C,GUC2C,P25092
219,GUCY2D,GUC2D,Q02846
220,GUCY2F,GUC2F,P51841
221,NPR1,ANPRA,P16066
222,NPR2,ANPRB,P20594
223,MAP2K1,MP2K1,Q02750
224,MAP2K2,MP2K2,P36507
225,MAP2K3,MP2K3,P46734
226,MAP2K4,MP2K4,P45985
227,MAP2K5,MP2K5,Q13163
228,MAP2K6,MP2K6,P52564
229,MAP2K7,MP2K7,O14733
230,MAP3K1,M3K1,Q13233
231,MAP3K10,M3K10,Q02779
232,MAP3K11,M3K11,Q16584
233,MAP3K12,M3K12,Q12852
234,MAP3K13,M3K13,O43283
235,MAP3K14,M3K14,Q99558
236,MAP3K15,M3K15,Q6ZN16
237,MAP3K19,M3K19,Q56UN5
238,MAP3K2,M3K2,Q9Y2U5
239,MAP3K20,M3K20,Q9NYL2
240,MAP3K21,M3K21,Q5TCX8
241,MAP3K3,M3K3,Q99759
242,MAP3K4,M3K4,Q9Y6R4
243,MAP3K5,M3K5,Q99683
244,MAP3K6,M3K6,O95382
245,MAP3K7,M3K7,O43318
246,MAP3K8,M3K8,P41279
247,MAP3K9,M3K9,P80192
248,MAP4K1,M4K1,Q92918
249,MAP4K2,M4K2,Q12851
250,MAP4K3,M4K3,Q8IVH8
251,MAP4K4,M4K4,O95819
252,MAP4K5,M4K5,Q9Y4K4
253,MINK1,MINK1,Q8N4C8
254,MYO3A,MYO3A,Q8NEV4
255,MYO3B,MYO3B,Q8WXR4
256,NRK,NRK,Q7Z2Y5
257,OXSR1,OXSR1,O95747
258,PAK1,PAK1,Q13153
259,PAK2,PAK2,Q13177
260,PAK3,PAK3,O75914
261,PAK4,PAK4,O96013
262,PAK5,PAK5,Q9P286
263,PAK6,PAK6,Q9NQU5
264,PBK,TOPK,Q96KB5
265,SLK,SLK,Q9H2G2
266,STK10,STK10,O94804
267,STK24,STK24,Q9Y6E0
268,STK25,STK25,O00506
269,STK26,STK26,Q9P289
270,STK3,STK3,Q13188
271,STK39,STK39,Q9UEW8
272,STK4,STK4,Q13043
273,STRADA,STRAA,Q7RTN6
274,STRADB,STRAB,Q9C0K7
275,TAOK1,TAOK1,Q7L7X3
276,TAOK2,TAOK2,Q9UL54
277,TAOK3,TAOK3,Q9H2K8
278,TNIK,TNIK,Q9UKE5
279,ACVR1,ACVR1,Q04771
280,ACVR1B,ACV1B,P36896
281,ACVR1C,ACV1C,Q8NER5
282,ACVR2A,AVR2A,P27037
283,ACVR2B,AVR2B,Q13705
284,ACVRL1,ACVL1,P37023
285,AMHR2,AMHR2,Q16671
286,ANKK1,ANKK1,Q8NFD2
287,ARAF,ARAF,P10398
288,BMPR1A,BMR1A,P36894
289,BMPR1B,BMR1B,O00238
290,BMPR2,BMPR2,Q13873
291,BRAF,BRAF,P15056
292,ILK,ILK,Q13418
293,IRAK1,IRAK1,P51617
294,IRAK2,IRAK2,O43187
295,IRAK3,IRAK3,Q9Y616
296,IRAK4,IRAK4,Q9NWZ3
297,KSR1,KSR1,Q8IVT5
298,KSR2,KSR2,Q6VAB6
299,LIMK1,LIMK1,P53667
300,LIMK2,LIMK2,P53671
301,LRRK1,LRRK1,Q38SD2
302,LRRK2,LRRK2,Q5S007
303,RAF1,RAF1,P04049
304,RIPK1,RIPK1,Q13546
305,RIPK2,RIPK2,O43353
306,RIPK3,RIPK3,Q9Y572
307,RIPK4,RIPK4,P57078
308,TESK1,TESK1,Q15569
309,TESK2,TESK2,Q96S53
310,TGFBR1,TGFR1,P36897
311,TGFBR2,TGFR2,P37173
312,TNNI3K,TNI3K,Q59H18
313,AATK,LMTK1,Q6ZMQ8
314,ABL1,ABL1,P00519
315,ABL2,ABL2,P42684
316,ALK,ALK,Q9UM73
317,AXL,UFO,P30530
318,BLK,BLK,P51451
319,BMX,BMX,P51813
320,BTK,BTK,Q06187
321,CSF1R,CSF1R,P07333
322,CSK,CSK,P41240
323,DDR1,DDR1,Q08345
324,DDR2,DDR2,Q16832
325,EGFR,EGFR,P00533
326,EPHA1,EPHA1,P21709
327,EPHA10,EPHAA,Q5JZY3
328,EPHA2,EPHA2,P29317
329,EPHA3,EPHA3,P29320
330,EPHA4,EPHA4,P54764
331,EPHA5,EPHA5,P54756
332,EPHA6,EPHA6,Q9UF33
333,EPHA7,EPHA7,Q15375
334,EPHA8,EPHA8,P29322
335,EPHB1,EPHB1,P54762
336,EPHB2,EPHB2,P29323
337,EPHB3,EPHB3,P54753
338,EPHB4,EPHB4,P54760
339,EPHB6,EPHB6,O15197
340,ERBB2,ERBB2,P04626
341,ERBB3,ERBB3,P21860
342,ERBB4,ERBB4,Q15303
